Latent_1,Latent_2,Cluster
2.156144,1.9222764,1
-2.7213442,-0.10833652,0
2.2487342,2.0330665,1
2.1352494,1.9563563,1
-2.7118995,-0.1060967,0
-2.5956492,-0.07485391,0
2.35568,1.9562689,1
7.693786,4.8372517,2
-2.6408126,-0.107386306,0
2.022959,2.087514,1
-2.5674484,-0.109123245,0
7.2184253,4.6589317,2
-2.6493971,-0.09792389,0
2.297318,1.9533993,1
-2.6303647,-0.05767323,0
-2.6154304,-0.021335557,0
2.125763,1.9590614,1
-1.1781467,0.70263714,0
7.9860697,4.933859,2
-2.5291557,-0.03037621,0
-2.6679032,-0.048221484,0
2.1707428,1.9694662,1
-2.6166513,-0.064984575,0
2.0418112,1.9332321,1
1.9397855,2.1068995,1
-2.6735108,-0.081210986,0
2.327252,1.8323914,1
2.143816,2.0320787,1
-2.634106,-0.089788154,0
-2.7207334,-0.13137914,0
-2.6834276,-0.05811985,0
-2.57279,-0.0884148,0
2.0690553,1.9079037,1
-2.5974863,0.0655977,0
1.797114,1.6278743,1
2.0330596,2.037911,1
-2.747495,-0.09853102,0
2.18528,2.0050542,1
7.9468403,4.931069,2
-2.7141259,-0.0657713,0
5.911731,3.7947383,2
2.1375153,1.9627398,1
7.277398,4.5141034,2
2.4052887,2.2744148,1
6.51396,4.1864147,2
-2.6995833,-0.0375026,0
2.001058,1.976099,1
-2.6800268,-0.110725895,0
2.2856607,1.8733844,1
7.777028,4.8512106,2
-2.6541753,-0.05462052,0
-2.6124043,-0.053332463,0
-2.6115234,-0.12688603,0
8.600669,5.107349,2
2.31171,2.1622286,1
2.4458063,2.088542,1
-2.6377118,-0.086487666,0
-2.5519738,-0.05852212,0
6.7314005,4.2199597,2
2.1356683,1.9351047,1
-2.6793191,-0.08636053,0
-2.6708107,-0.08573152,0
2.3572748,1.9999716,1
2.1393595,1.9646664,1
7.635671,4.7849364,2
2.455474,1.9061447,1
-2.6616943,-0.101760164,0
5.8267145,3.8288302,2
5.9191475,3.930445,2
2.1663473,1.7994277,1
2.04414,1.8959254,1
6.550928,4.1613774,2
1.830935,2.0120337,1
7.018916,4.303249,2
2.041024,1.9983035,1
-2.7292597,-0.09854163,0
-3.1283667,-0.4727683,0
-2.6719706,-0.11965753,0
-2.6666043,-0.10410608,0
2.161905,1.9803535,1
3.2488847,2.5010972,1
2.4628708,1.9689919,1
7.021316,4.524706,2
-2.69978,-0.080413595,0
2.0622723,1.8668917,1
1.8910103,1.9106132,1
-2.6444085,-0.07578422,0
-2.6483366,-0.03686662,0
8.074529,4.8692236,2
-2.5618207,-0.04309143,0
2.2753913,1.9605035,1
2.0952709,1.9373748,1
-2.6759486,-0.10208537,0
-2.693187,-0.073656574,0
2.138501,1.96022,1
7.3733883,4.738887,2
-2.6642241,-0.062064722,0
-2.5930235,-0.073740974,0
2.0683737,1.9025134,1
8.663404,5.374411,2
7.3353605,4.5442524,2
6.016356,3.6861155,2
2.2787094,1.9629984,1
-2.6424682,-0.10625096,0
-2.5773098,-0.024603143,0
-2.6007879,-0.09814103,0
-2.6017838,-0.087160066,0
2.016328,1.8505745,1
7.516034,4.6800785,2
-2.6447148,-0.09722866,0
7.915383,4.9412804,2
2.0996811,1.9365612,1
-2.6867163,-0.10402574,0
2.2430565,2.2743838,1
-2.664375,-0.12534912,0
-2.658116,-0.09860481,0
-2.668108,-0.05100055,0
-2.7279658,-0.061091498,0
-2.644821,-0.080900505,0
-2.7532346,-0.10267426,0
2.460775,2.008077,1
-2.6674144,-0.10954155,0
-2.5723102,-0.02005054,0
2.9711218,2.2418025,1
-2.6659086,-0.050491825,0
